school_id,provincial_buildingMove,provincial_note
archwood,,
beliveau,French Immersion program at 296 Speers Rd. to move to 1015 Cottonwood Rd.,Building Move: French Immersion program at 296 Speers Rd. to move to 1015 Cottonwood Rd.
cjs,,
dakota,,
darwin,,
drdwpenner,,
ecolegeorgemcdowell,,
ecoleguyot,,
ecolehenribergeron,,
ecolehowden,,
ecolejulieriel,,
ecolemarieannegaboury,,
ecoleprovencher,,
ecolemazinagiizhik,,
ecolestgermain,,
ecolevanbelleghem,,
ecolevarennes,,
frontenac,,
generalvanier,,
glenlawn,,
glenwood,,
hastings,,
highbury,,
hspaul,,
islandlakes,,
jhbruns,,
lavallee,,
louisrielartstech,,
marion,,
minnetonka,,
nelsonmcintyre,,
niakwaplace,,
nordale,,
sagecreek,,
samuelburland,,
shamrock,,
stgeorge,,
victorhlwyatt,,
victormager,,
windsor,,
windsorpark,,
